  Well ,  Sample ID ,  Date , CN25.P05.CN25.Concentration Concentration for CN25 gated by P05.CN25  (cells/mL) , HNA.Percent Percent for HNA gated by P05.PotentialPostives  (%) , HNA.Concentration Concentration for HNA gated by P05.PotentialPostives  (cells/mL) , all_cells.Concentration Concentration for all_cells gated by P05.PotentialPostives  (cells/mL) 
 F09, C12, 04.08.2019,253989.7288,29.77,94492.30474,252783.5791
 F10, C13, 04.08.2019,181830.5741,22.8,55647.47772,186028.5418
 F11, C15, 04.08.2019,205817.6148,22.45,58973.90494,214118.6188
 G01, D0, 04.08.2019,37321.86024,6.872536137,5282.634075,50422.38872
 G02, D0.5, 04.08.2019,125716.8824,14.5,28235.66906,151187.4032
 G03, D1, 04.08.2019,244040.0969,19.29,64922.54129,273623.7743
 G04, D1.5, 04.08.2019,542413.9546,23.21,165563.2284,584072.2594
 G05, D2, 04.08.2019,656188.672,23.45,198473.1634,711033.2818
 G06, D2.5, 04.08.2019,705301.1295,24.25,219642.3833,749320.1803
 G07, D3, 04.08.2019,652438.1632,24.44,207841.3544,692917.9033
 G08, D3.5, 04.08.2019,731128.8518,25.64,226266.0683,748866.5584
 G09, D4, 04.08.2019,594985.5192,23.17,177560.7223,624259.665
 G10, D4.5, 04.08.2019,905178.9562,27.13,292420.875,928244.9596
 G11, D5, 04.08.2019,685166.5351,26.38,226273.0746,701635.235
 G12, D5.5, 04.08.2019,813031.7994,22.34,239366.505,885141.7627
 H01, D6, 04.08.2019,607038.4191,20.53,174300.6817,671902.3844
 H02, D6.5, 04.08.2019,657681.6447,23.64,210301.5566,701716.8692
 H03, D7, 04.08.2019,667074.8123,22.56,205562.1878,719103.1852
 H04, D8, 04.08.2019,705894.2865,21.42,206194.6764,777995.0394
 H05, D9, 04.08.2019,691707.6112,23.91,215882.117,721322.5566
 H06, D10, 04.08.2019,514655.9321,21.99,152688.6663,557844.8136
 H07, D11, 04.08.2019,291602.8038,21.28,81221.3045,309503.5518
 H08, D11_P, 04.08.2019,399630.7882,19.21,106372.557,420783.4778
 H09, D12, 04.08.2019,184419.3452,19.46,49398.49219,201934.7407
 H10, D13, 04.08.2019,165976.7285,15.46,37947.35614,190841.3286
 H11, D15, 04.08.2019,123151.3796,12.02,23848.55136,144519.8403
